il,il_kodu,onceki_harf_grubu,yeni_harf_grubu,son_gorulen_eski,son_gorulen_eski_tarih,ilk_gorulen_yeni,ilk_gorulen_yeni_tarih
İzmir,35,B,C,35 BZZ 563,2024-03-15,35 CAA 656,2024-03-18
İstanbul,34,K,M,34 KZZ 686,2024-08-20,34 MAB 946,2024-08-21
Gaziantep,27,A,B,27 AZZ 335,2024-10-11,27 BAA 982,2024-10-17
Konya,42,A,B,42 AZZ 925,2024-11-09,42 BAA 357,2024-11-11
Adana,1,A,B,01 AZZ 649,2024-12-10,01 BAA 030,2024-12-11
Ankara,6,E,F,06 EZZ 721,2025-01-20,06 FAA 727,2025-01-21
Antalya,7,B,C,07 BZZ 920,2025-01-29,07 CAA 352,2025-01-30
Mersin,33,A,B,33 AZZ 846,2025-02-04,33 BAA 330,2025-02-06
İstanbul,34,M,N,34 MZZ 201,2025-03-28,34 NAJ 950,2025-04-04
Kocaeli,41,A,B,41 AZZ 559,2025-04-23,41 BAC 009,2025-04-30
Hatay,31,A,B,31 AZZ 655,2025-09-26,31 BAB 123,2025-10-03
İstanbul,34,N,P,34 NZT 438,2025-10-31,34 PAN 886,2025-11-07
Manisa,45,A,B,45 AZZ 753,2025-12-31,45 BAA 416,2026-01-06
Muğla,48,A,B,48 AZZ 095,2026-01-30,48 BAA 106,2026-02-07
Bursa,16,B,C,16 BZV 632,2026-02-28,16 CAA 588,2026-03-06
İzmir,35,C,D,35 CZT 771,2026-03-27,35 DAA 602,2026-04-03
Ankara,6,F,G,06 FZU 834,2026-05-22,06 GAD 979,2026-06-05
İstanbul,34,P,R,34 PZM 159,2026-06-12,34 RAE 659,2026-06-19
